variable,coefficient
(Intercept),41.9562659507474
n_accommodates,2.9164443931905786
n_days_since_last,0.30334873516295496
f_bathroom,0.3688701054826522
f_bedrooms,0.8748088966057481
f_neighbourhood_cleansedArnavutkoy,-0.43850401457382654
f_neighbourhood_cleansedAvcilar,-0.44488921900426526
f_neighbourhood_cleansedBagcilar,-1.2784979009355717
f_neighbourhood_cleansedBahcelievler,0.1663757247148443
f_neighbourhood_cleansedBakirkoy,0.09054055529057356
f_neighbourhood_cleansedBasaksehir,0.4695119332717524
f_neighbourhood_cleansedBesiktas,0.058124410721640374
f_neighbourhood_cleansedBeyoglu,0.06805084828562924
f_neighbourhood_cleansedBuyukcekmece,-0.5933726022732994
f_neighbourhood_cleansedEsenyurt,-2.3425214625700796
f_neighbourhood_cleansedFatih,0.06349165764089784
f_neighbourhood_cleansedGaziosmanpasa,-0.0014860838473024897
f_neighbourhood_cleansedKadikoy,-0.31155334694640163
f_neighbourhood_cleansedKagithane,-0.002720414933312301
f_neighbourhood_cleansedKartal,-0.0025780533704094113
f_neighbourhood_cleansedKucukcekmece,-0.37857204152674145
f_neighbourhood_cleansedMaltepe,-0.7193459087675871
f_neighbourhood_cleansedPendik,-0.39009380690762974
f_neighbourhood_cleansedSile,0.060083315819682466
f_neighbourhood_cleansedSisli,0.9275592586737385
f_neighbourhood_cleansedTuzla,-0.26802906694041695
f_neighbourhood_cleansedUskudar,0.4371638628219692
f_neighbourhood_cleansedZeytinburnu,-0.7818670962828121
f_minimum_nights,-2.1421977327327544
n_availability_365,0.0013810393331834194
d_host_is_superhost,0.4448351683656522
d_host_identity_verified,0.5614716532818408
f_number_of_reviews,-1.1716207497345952
d_backyard,-0.27009824073016053
d_baking_sheet,0.08047583405489833
d_beachfront,0.28136067218869093
d_bikes,-0.0014423559534352166
d_carbon_monoxide_alarm,0.9998780001111622
d_cleaning_products,-7.457429648047704e-4
d_drying_rack_for_clothing,-0.23859245592512413
d_elevator,0.32888628658462593
d_extra_pillows_and_blankets,-0.4689242336060296
d_fire_extinguisher,0.4150744381056631
d_fire_pit,-0.4568663628249713
d_hot_tub,0.7820152341089216
d_hot_water,-0.5753152226040518
d_hot_water_kettle,1.1759247226163774
d_lockbox,-0.2882545076461782
d_long_term_stays_allowed,0.276358610442185
d_microwave,0.48982324528540966
d_mini_fridge,-1.1103052133419893
d_outdoor_furniture,0.09129520164502143
d_pool,0.17523040675096474
d_private_hot_tub,0.03474212754106629
d_shared_pool,0.15153077249690292
d_smoke_alarm,0.7564400131060955
d_trash_compactor,-0.30666159225301287
d_waterfront,0.26334212591527006
d_window_ac_unit,0.2825441479615309
d_window_guards,-0.5770062772242122
d_have_kitchen,0.21766826663058073
d_have_oven,0.34052226751438974
d_fridge,-0.2281389984572998
d_coffee_machine,0.5586940077788591
d_free_parking_on_street,-0.41162294543088057
d_paid_parking_off_premises,0.16769654103787024
d_have_tv,0.03363211574052557
d_shampoo_conditioner,1.1332828441939604e-4
d_have_washer,-0.13926838182249604
d_have_dryer,0.2214579343043899
d_have_air_condfan,2.496838337087975
d_balcony,0.45998792159364277
d_have_garden,-0.24058033981400123
d_have_breakfast,0.20057589655140762
d_have_fitnessgym,0.42918838328834724
d_family_friendly,1.0968009473453102
d_have_fireplace,0.49017749822541035
f_property_typeloft:d_baking_sheet,0.3701481792561785
f_property_typecondo:d_beachfront,0.22765109168324368
f_property_typeloft:d_beachfront,0.12750693429743196
f_property_typeloft:d_carbon_monoxide_alarm,-0.004208081602439028
f_property_typeloft:d_cleaning_before_checkout,-7.959037340691649e-4
f_property_typecondo:d_dining_table,-0.7300215001417955
f_property_typecondo:d_elevator,-0.013929892329042202
f_property_typeloft:d_elevator,0.45218712591570853
f_property_typeloft:d_ev_charger,-0.40152893099593434
f_property_typecondo:d_fire_extinguisher,-0.19251196397267778
f_property_typeloft:d_fire_pit,-0.091224366757599
f_property_typecondo:d_hot_tub,-0.4548260698439862
f_property_typecondo:d_keypad,0.11814904104481265
f_property_typecondo:d_lake_access,-0.09328983779009138
f_property_typecondo:d_long_term_stays_allowed,0.031334632310205696
f_property_typecondo:d_luggage_dropoff_allowed,-0.38014424338845176
f_property_typeloft:d_luggage_dropoff_allowed,-0.2165881188134765
f_property_typecondo:d_microwave,-0.05799437754499026
f_property_typecondo:d_outdoor_dining_area,0.12281354963893078
f_property_typecondo:d_outdoor_furniture,0.6696740664146036
f_property_typeloft:d_pool,-0.5175750138555704
f_property_typecondo:d_private_entrance,0.043399138262853715
f_property_typeloft:d_private_entrance,0.0063524726240543035
f_property_typeloft:d_private_hot_tub,0.3415790596825238
f_property_typecondo:d_safe,-0.11552515150152239
f_property_typeloft:d_safe,-0.3017971497693057
f_property_typecondo:d_shared_pool,0.0704617315694821
f_property_typecondo:d_toaster,0.22648878875954723
f_property_typecondo:d_window_guards,0.004165630516398568
f_property_typeloft:d_have_gril,0.20224364734885858
f_property_typecondo:d_free_parking_on_premises,0.1124615435936292
f_property_typeloft:d_have_tv,-0.0725290715201872
f_property_typecondo:d_shampoo_conditioner,0.030261843626015972
f_property_typecondo:d_have_iron,0.47903331298157314
f_property_typeloft:d_balcony,-0.13971445434681412
f_property_typecondo:d_have_breakfast,0.4421592896475362
f_property_typeloft:d_have_fitnessgym,-0.20891630397115138
f_property_typeloft:d_family_friendly,0.23952076041970122
f_property_typeloft:d_have_fireplace,0.18917160853807466
f_property_typeloft:d_have_clothing_storage,-0.5105107338129998
f_property_typeloft:d_host_is_superhost,0.1963032775499676
